FeedbackID,PolicyID,FeedbackDate,Feedback,CustomerSatisfactionScore,FeedbackType,AgentID,ResolutionStatus
1,479,2023-07-13,Customer requested better discounts for multi-policy holders.,6,Suggestion,21,Unresolved
2,104,2023-10-30,Policy documents were not received by the customer.,5,Suggestion,20,Resolved
3,53,2023-05-24,Satisfied with the speed of claim settlement under the policy.,3,Praise,7,Unresolved
4,414,2022-08-18,Customer expressed concern over rising premium rates.,3,Praise,13,Unresolved
5,293,2022-01-17,Policy cancellation process was lengthy and inconvenient.,6,Complaint,6,Resolved
6,215,2022-09-30,Feedback suggests offering mobile app for easier management.,6,Suggestion,14,Unresolved
7,56,2023-12-04,Customer requested better discounts for multi-policy holders.,5,Praise,22,In Progress
8,434,2022-02-03,Customer found it difficult to submit a claim online.,4,Praise,26,Resolved
9,168,2023-07-17,Policy cancellation process was lengthy and inconvenient.,7,Praise,19,In Progress
10,299,2023-06-26,Policy coverage terms were unclear; required agent assistance.,4,Suggestion,26,Resolved
11,19,2022-06-04,Agent Anthony Jackson was very helpful in explaining coverage.,9,Praise,29,Unresolved
12,413,2023-10-23,Customer requested more flexible payment options for premiums.,10,Praise,19,In Progress
13,310,2022-01-28,Satisfied with the support provided by the assigned agent.,8,Praise,8,Unresolved
14,150,2023-05-12,Customer recommended adding telematics for vehicle policies.,8,Praise,9,In Progress
15,148,2023-12-11,Agent provided exceptional service during the policy purchase.,9,Suggestion,5,Resolved
16,137,2022-11-09,Customer reported confusion about coverage details.,5,Suggestion,18,In Progress
17,9,2023-09-27,Policy updates should be communicated more frequently.,8,Suggestion,4,In Progress
18,43,2023-02-11,Policy cancellation process was lengthy and inconvenient.,9,Complaint,4,In Progress
19,61,2022-12-31,Feedback suggests offering mobile app for easier management.,8,Suggestion,29,Unresolved
20,196,2023-08-09,Customer appreciated the prompt service during renewal.,3,Praise,30,Unresolved
21,302,2022-01-25,Customer requested better discounts for multi-policy holders.,3,Complaint,1,Unresolved
22,42,2023-06-21,Satisfied with the speed of claim settlement under the policy.,2,Complaint,21,Resolved
23,110,2022-04-11,Customer found it difficult to submit a claim online.,1,Praise,8,In Progress
24,58,2023-09-03,Customer requested more flexible payment options for premiums.,6,Praise,23,In Progress
25,488,2022-07-04,Customer recommended adding telematics for vehicle policies.,5,Complaint,22,Resolved
26,44,2023-05-06,Feedback suggests offering mobile app for easier management.,10,Praise,21,Resolved
27,174,2023-08-17,Feedback suggests offering mobile app for easier management.,7,Praise,13,Resolved
28,277,2022-10-04,Policy renewal process was straightforward and quick.,6,Suggestion,23,In Progress
29,128,2022-04-24,Satisfied with the support provided by the assigned agent.,3,Praise,12,Unresolved
30,304,2022-12-10,Policy renewal process was straightforward and quick.,7,Complaint,12,In Progress
31,218,2023-01-24,Policy documents were not received by the customer.,4,Praise,17,Unresolved
32,359,2022-02-13,Agent Amy Newman was very helpful in explaining coverage.,5,Complaint,23,Resolved
33,208,2023-03-08,Satisfied with the support provided by the assigned agent.,9,Praise,5,Unresolved
34,149,2023-09-20,Customer appreciated the prompt service during renewal.,1,Complaint,6,In Progress
35,389,2023-12-03,Policy coverage terms were unclear; required agent assistance.,8,Praise,23,In Progress
36,238,2023-01-20,Suggested extending coverage to include flood insurance.,6,Praise,11,In Progress
37,418,2022-09-09,Premium rates are too high compared to other providers.,6,Praise,13,Unresolved
38,202,2022-05-08,Agent provided exceptional service during the policy purchase.,10,Praise,26,In Progress
39,82,2022-01-21,Policy documents were not received by the customer.,5,Suggestion,22,Unresolved
40,120,2022-07-26,Policy updates should be communicated more frequently.,8,Complaint,11,In Progress
41,488,2023-05-17,Agent Mr. Justin Wilson was very helpful in explaining coverage.,5,Complaint,27,Unresolved
42,8,2022-12-03,Feedback suggests adding more coverage options for renters.,5,Praise,5,In Progress
43,69,2022-10-13,Satisfied with the speed of claim settlement under the policy.,10,Complaint,16,Resolved
44,75,2022-07-16,Premium rates are too high compared to other providers.,1,Suggestion,14,In Progress
45,427,2022-11-18,Agent provided exceptional service during the policy purchase.,1,Praise,28,Unresolved
46,146,2023-07-11,Customer requested better discounts for multi-policy holders.,3,Complaint,7,Resolved
47,140,2023-06-14,Premium rates are too high compared to other providers.,5,Complaint,1,In Progress
48,65,2023-05-03,Policy cancellation process was lengthy and inconvenient.,8,Praise,19,Resolved
49,251,2023-11-01,Feedback suggests offering mobile app for easier management.,1,Complaint,12,Resolved
50,140,2023-12-05,Agent provided exceptional service during the policy purchase.,5,Praise,10,Resolved
51,500,2023-02-16,Feedback suggests adding more coverage options for renters.,4,Praise,4,In Progress
52,126,2023-12-31,Feedback suggests offering mobile app for easier management.,10,Suggestion,29,Unresolved
53,483,2023-03-06,Satisfied with the speed of claim settlement under the policy.,2,Praise,23,Resolved
54,132,2023-01-25,Satisfied with the support provided by the assigned agent.,10,Praise,19,Unresolved
55,417,2022-09-24,Policy documents were not received by the customer.,7,Praise,29,Resolved
56,267,2022-11-28,Policy coverage terms were unclear; required agent assistance.,7,Praise,3,Resolved
57,156,2023-06-17,Feedback suggests adding more coverage options for renters.,5,Complaint,17,Unresolved
58,443,2022-05-01,Policy coverage terms were unclear; required agent assistance.,6,Praise,22,Resolved
59,42,2022-09-14,Policy updates should be communicated more frequently.,10,Complaint,26,Unresolved
60,78,2022-05-09,Agent Ashley Henry was very helpful in explaining coverage.,8,Suggestion,23,In Progress
61,408,2022-09-15,Policy renewal process was straightforward and quick.,5,Complaint,24,In Progress
62,341,2022-05-07,Satisfied with the speed of claim settlement under the policy.,3,Praise,13,In Progress
63,350,2022-11-17,Customer requested more flexible payment options for premiums.,3,Praise,18,Unresolved
64,143,2023-03-20,Customer requested better discounts for multi-policy holders.,9,Complaint,30,In Progress
65,471,2022-09-03,Premium rates are too high compared to other providers.,9,Suggestion,27,In Progress
66,263,2023-12-14,Customer requested more flexible payment options for premiums.,9,Praise,7,Unresolved
67,352,2022-11-19,Suggested extending coverage to include flood insurance.,9,Suggestion,4,Unresolved
68,398,2023-10-24,Premium rates are too high compared to other providers.,9,Suggestion,21,In Progress
69,417,2022-03-24,Feedback suggests offering mobile app for easier management.,3,Praise,20,Unresolved
70,200,2022-06-12,Agent Cheryl Tyler was very helpful in explaining coverage.,5,Suggestion,7,Unresolved
71,423,2022-09-04,Customer requested better discounts for multi-policy holders.,8,Suggestion,13,Resolved
72,21,2023-02-09,Policy updates should be communicated more frequently.,10,Suggestion,15,Unresolved
73,169,2022-07-18,Customer reported confusion about coverage details.,2,Suggestion,12,Unresolved
74,451,2022-11-25,Feedback suggests offering mobile app for easier management.,10,Suggestion,13,Unresolved
75,13,2023-12-09,Suggested extending coverage to include flood insurance.,3,Complaint,26,In Progress
76,439,2022-06-01,Policy documents were not received by the customer.,2,Praise,8,Resolved
77,183,2022-10-03,Customer appreciated the prompt service during renewal.,8,Praise,20,Resolved
78,367,2022-04-18,Customer requested better discounts for multi-policy holders.,6,Praise,5,In Progress
79,315,2022-01-23,Agent Diane Brown was very helpful in explaining coverage.,9,Praise,15,In Progress
80,299,2023-03-25,Policy coverage terms were unclear; required agent assistance.,4,Complaint,11,Unresolved
81,447,2023-06-01,Feedback suggests offering mobile app for easier management.,1,Praise,15,Unresolved
82,410,2023-01-17,Customer requested better discounts for multi-policy holders.,4,Suggestion,1,In Progress
83,326,2023-05-01,Satisfied with the support provided by the assigned agent.,1,Complaint,27,Resolved
84,282,2022-05-02,Policy renewal process was straightforward and quick.,9,Praise,4,Resolved
85,40,2022-04-03,Customer reported confusion about coverage details.,8,Complaint,6,Unresolved
86,438,2022-08-09,Customer expressed concern over rising premium rates.,5,Complaint,6,Unresolved
87,29,2023-08-24,Policy updates should be communicated more frequently.,7,Suggestion,19,Resolved
88,33,2022-11-24,Policy documents were not received by the customer.,8,Praise,4,Unresolved
89,492,2023-12-06,Customer recommended adding telematics for vehicle policies.,7,Suggestion,8,In Progress
90,95,2023-06-01,Feedback suggests adding more coverage options for renters.,9,Praise,30,In Progress
91,191,2023-09-30,Policy updates should be communicated more frequently.,1,Suggestion,23,Unresolved
92,11,2022-12-19,Policy cancellation process was lengthy and inconvenient.,9,Praise,13,Resolved
93,75,2022-10-25,Customer recommended adding telematics for vehicle policies.,6,Praise,17,In Progress
94,429,2023-03-04,Customer reported confusion about coverage details.,4,Praise,21,Unresolved
95,421,2023-07-14,Agent Lisa Bennett was very helpful in explaining coverage.,6,Praise,21,Resolved
96,364,2022-02-05,Feedback suggests offering mobile app for easier management.,1,Praise,21,Resolved
97,440,2023-06-30,Customer requested more flexible payment options for premiums.,7,Suggestion,26,Resolved
98,176,2023-01-13,Policy documents were not received by the customer.,7,Suggestion,9,Unresolved
99,283,2022-10-18,Premium rates are too high compared to other providers.,7,Complaint,3,In Progress
100,288,2022-10-30,Agent Helen Bishop was very helpful in explaining coverage.,3,Complaint,6,Unresolved
101,2,2023-01-13,Feedback suggests offering mobile app for easier management.,1,Complaint,17,Unresolved
102,494,2023-03-10,Customer expressed concern over rising premium rates.,9,Suggestion,15,Unresolved
103,348,2022-10-11,Premium rates are too high compared to other providers.,5,Complaint,20,Resolved
104,225,2022-12-03,Satisfied with the speed of claim settlement under the policy.,2,Praise,5,Unresolved
105,28,2022-06-15,Customer expressed concern over rising premium rates.,4,Complaint,15,Unresolved
106,343,2022-07-08,Satisfied with the support provided by the assigned agent.,2,Suggestion,20,Unresolved
107,21,2023-04-25,Policy cancellation process was lengthy and inconvenient.,1,Complaint,15,In Progress
108,22,2022-10-29,Satisfied with the support provided by the assigned agent.,10,Suggestion,15,Unresolved
109,393,2022-03-12,Suggested extending coverage to include flood insurance.,9,Praise,12,Unresolved
110,444,2023-05-02,Satisfied with the speed of claim settlement under the policy.,8,Suggestion,10,Resolved
111,423,2023-01-27,Policy documents were not received by the customer.,10,Suggestion,24,Unresolved
112,72,2022-09-19,Customer found it difficult to submit a claim online.,3,Suggestion,16,Unresolved
113,406,2022-06-18,Customer appreciated the prompt service during renewal.,4,Complaint,4,In Progress
114,452,2022-11-26,Agent Brittney Bell was very helpful in explaining coverage.,1,Suggestion,13,In Progress
115,415,2023-01-09,Customer found it difficult to submit a claim online.,6,Suggestion,8,Unresolved
116,61,2023-09-01,Satisfied with the support provided by the assigned agent.,9,Suggestion,8,In Progress
117,321,2022-06-29,Policy updates should be communicated more frequently.,2,Complaint,27,Resolved
118,198,2022-10-26,Customer requested more flexible payment options for premiums.,1,Suggestion,25,In Progress
119,15,2022-08-29,Agent Jody Lawrence was very helpful in explaining coverage.,4,Suggestion,14,Unresolved
120,61,2023-06-20,Customer appreciated the prompt service during renewal.,6,Praise,14,Resolved
121,209,2023-11-10,Policy documents were not received by the customer.,7,Praise,23,In Progress
122,55,2023-02-22,Customer requested better discounts for multi-policy holders.,8,Suggestion,10,In Progress
123,185,2023-10-20,Policy coverage terms were unclear; required agent assistance.,7,Complaint,25,Resolved
124,262,2022-04-01,Policy documents were not received by the customer.,5,Complaint,13,Unresolved
125,68,2023-03-18,Agent provided exceptional service during the policy purchase.,9,Praise,7,In Progress
126,454,2022-04-13,Suggested extending coverage to include flood insurance.,5,Complaint,9,Resolved
127,153,2023-04-17,Satisfied with the speed of claim settlement under the policy.,10,Suggestion,29,In Progress
128,150,2023-11-25,Policy cancellation process was lengthy and inconvenient.,4,Suggestion,3,Unresolved
129,276,2023-09-10,Customer found it difficult to submit a claim online.,9,Suggestion,11,In Progress
130,132,2022-07-26,Customer expressed concern over rising premium rates.,1,Suggestion,29,Resolved
131,307,2022-09-16,Customer expressed concern over rising premium rates.,8,Suggestion,12,Resolved
132,61,2022-03-19,Agent Erica Miller was very helpful in explaining coverage.,4,Suggestion,11,Resolved
133,498,2023-07-15,Agent Victor Johnson was very helpful in explaining coverage.,6,Praise,13,Resolved
134,497,2023-06-19,Policy documents were not received by the customer.,7,Praise,16,Resolved
135,135,2022-03-30,Policy documents were not received by the customer.,9,Praise,6,Unresolved
136,427,2023-04-22,Policy updates should be communicated more frequently.,10,Suggestion,7,Resolved
137,365,2022-07-06,Customer appreciated the prompt service during renewal.,2,Suggestion,13,Resolved
138,109,2023-06-15,Customer expressed concern over rising premium rates.,4,Complaint,1,Resolved
139,418,2023-05-01,Customer expressed concern over rising premium rates.,8,Complaint,17,Unresolved
140,374,2022-11-05,Customer recommended adding telematics for vehicle policies.,3,Praise,20,Resolved
141,176,2023-08-17,Customer recommended adding telematics for vehicle policies.,2,Suggestion,21,Resolved
142,32,2023-12-17,Feedback suggests adding more coverage options for renters.,7,Praise,2,Resolved
143,406,2022-03-14,Satisfied with the support provided by the assigned agent.,7,Suggestion,13,Resolved
144,300,2022-08-15,Feedback suggests adding more coverage options for renters.,9,Suggestion,1,Resolved
145,407,2022-04-02,Customer requested more flexible payment options for premiums.,3,Complaint,20,Unresolved
146,10,2022-07-20,Policy updates should be communicated more frequently.,2,Suggestion,21,In Progress
147,361,2022-02-25,Customer expressed concern over rising premium rates.,8,Suggestion,17,Resolved
148,273,2022-09-17,Premium rates are too high compared to other providers.,6,Suggestion,22,In Progress
149,257,2022-09-01,Policy cancellation process was lengthy and inconvenient.,7,Praise,10,In Progress
150,436,2022-08-19,Customer recommended adding telematics for vehicle policies.,8,Praise,27,Unresolved
151,202,2023-06-07,Policy coverage terms were unclear; required agent assistance.,4,Complaint,27,In Progress
152,87,2022-11-15,Policy cancellation process was lengthy and inconvenient.,1,Suggestion,25,Resolved
153,70,2022-09-12,Customer recommended adding telematics for vehicle policies.,4,Suggestion,28,Resolved
154,103,2023-03-04,Customer found it difficult to submit a claim online.,9,Suggestion,25,In Progress
155,44,2023-10-18,Customer requested more flexible payment options for premiums.,8,Complaint,1,In Progress
156,198,2022-10-22,Suggested extending coverage to include flood insurance.,3,Complaint,12,Unresolved
157,328,2023-03-12,Customer requested more flexible payment options for premiums.,6,Suggestion,17,Resolved
158,389,2022-10-29,Agent Benjamin Wilson was very helpful in explaining coverage.,1,Complaint,20,In Progress
159,3,2022-12-15,Feedback suggests adding more coverage options for renters.,2,Praise,12,In Progress
160,286,2022-02-26,Customer found it difficult to submit a claim online.,6,Suggestion,6,Unresolved
161,272,2023-07-12,Agent provided exceptional service during the policy purchase.,6,Praise,29,Unresolved
162,103,2022-10-07,Policy documents were not received by the customer.,1,Complaint,13,In Progress
163,88,2023-06-04,Feedback suggests adding more coverage options for renters.,3,Complaint,14,Unresolved
164,241,2023-12-20,Customer requested more flexible payment options for premiums.,2,Praise,17,In Progress
165,384,2022-09-02,Agent provided exceptional service during the policy purchase.,5,Praise,19,Resolved
166,333,2022-05-16,Premium rates are too high compared to other providers.,5,Suggestion,10,In Progress
167,318,2023-01-21,Satisfied with the support provided by the assigned agent.,4,Suggestion,8,Unresolved
168,418,2023-03-19,Agent provided exceptional service during the policy purchase.,5,Suggestion,19,In Progress
169,419,2023-09-17,Premium rates are too high compared to other providers.,5,Praise,1,In Progress
170,374,2022-12-22,Customer requested better discounts for multi-policy holders.,10,Complaint,24,In Progress
171,331,2023-03-11,Feedback suggests adding more coverage options for renters.,5,Praise,30,In Progress
172,64,2023-07-17,Customer expressed concern over rising premium rates.,3,Praise,30,Resolved
173,188,2023-09-12,Customer found it difficult to submit a claim online.,4,Suggestion,15,Resolved
174,98,2023-09-30,Policy cancellation process was lengthy and inconvenient.,9,Praise,17,Unresolved
175,123,2022-09-06,Feedback suggests adding more coverage options for renters.,5,Complaint,13,Resolved
176,32,2023-10-16,Customer requested more flexible payment options for premiums.,7,Suggestion,14,Unresolved
177,327,2022-12-22,Policy coverage terms were unclear; required agent assistance.,5,Suggestion,10,Unresolved
178,483,2023-06-01,Feedback suggests offering mobile app for easier management.,2,Complaint,6,Unresolved
179,225,2022-09-12,Customer found it difficult to submit a claim online.,7,Praise,2,Unresolved
180,318,2023-10-19,Customer found it difficult to submit a claim online.,1,Praise,11,Resolved
181,260,2023-07-29,Customer found it difficult to submit a claim online.,9,Suggestion,2,In Progress
182,385,2022-05-11,Policy coverage terms were unclear; required agent assistance.,1,Praise,18,Unresolved
183,106,2023-11-19,Feedback suggests adding more coverage options for renters.,3,Complaint,10,In Progress
184,265,2022-12-13,Suggested extending coverage to include flood insurance.,9,Complaint,3,Unresolved
185,89,2023-07-06,Suggested extending coverage to include flood insurance.,8,Complaint,16,In Progress
186,48,2023-02-06,Customer appreciated the prompt service during renewal.,7,Complaint,14,Resolved
187,24,2022-06-17,Satisfied with the speed of claim settlement under the policy.,10,Suggestion,17,Resolved
188,89,2022-03-08,Agent provided exceptional service during the policy purchase.,8,Suggestion,13,Resolved
189,297,2023-05-14,Feedback suggests offering mobile app for easier management.,6,Complaint,4,In Progress
190,71,2023-11-29,Feedback suggests adding more coverage options for renters.,6,Praise,12,Resolved
191,132,2023-04-16,Customer recommended adding telematics for vehicle policies.,8,Praise,15,Unresolved
192,356,2022-07-27,Customer found it difficult to submit a claim online.,7,Complaint,10,Resolved
193,361,2023-04-20,Premium rates are too high compared to other providers.,5,Suggestion,12,Resolved
194,74,2022-10-28,Customer recommended adding telematics for vehicle policies.,1,Complaint,25,Resolved
195,435,2023-04-13,Policy updates should be communicated more frequently.,8,Complaint,9,Unresolved
196,109,2023-11-09,Satisfied with the speed of claim settlement under the policy.,7,Praise,10,Resolved
197,428,2022-06-07,Customer expressed concern over rising premium rates.,6,Complaint,18,Unresolved
198,109,2023-06-05,Policy coverage terms were unclear; required agent assistance.,6,Suggestion,9,Unresolved
199,326,2023-10-01,Customer requested more flexible payment options for premiums.,4,Suggestion,15,In Progress
200,222,2022-11-08,Customer found it difficult to submit a claim online.,10,Praise,21,Unresolved
201,356,2023-12-02,Customer found it difficult to submit a claim online.,3,Complaint,6,Resolved
202,14,2023-07-16,Feedback suggests offering mobile app for easier management.,5,Praise,22,Resolved
203,450,2022-08-21,Agent provided exceptional service during the policy purchase.,2,Praise,3,In Progress
204,74,2022-02-16,Satisfied with the support provided by the assigned agent.,2,Praise,21,Unresolved
205,225,2022-02-25,Customer requested better discounts for multi-policy holders.,7,Suggestion,13,In Progress
206,499,2023-12-17,Policy coverage terms were unclear; required agent assistance.,3,Suggestion,22,Unresolved
207,301,2022-06-06,Policy updates should be communicated more frequently.,4,Complaint,25,Unresolved
208,113,2022-03-30,Policy cancellation process was lengthy and inconvenient.,3,Praise,10,Resolved
209,148,2023-07-04,Satisfied with the speed of claim settlement under the policy.,3,Praise,16,In Progress
210,288,2022-01-18,Agent Elizabeth Simpson was very helpful in explaining coverage.,9,Suggestion,16,In Progress
211,410,2023-01-24,Customer expressed concern over rising premium rates.,2,Praise,6,In Progress
212,419,2023-03-24,Customer requested more flexible payment options for premiums.,4,Complaint,9,In Progress
213,389,2022-07-29,Satisfied with the support provided by the assigned agent.,1,Praise,12,Unresolved
214,297,2023-11-29,Customer requested more flexible payment options for premiums.,5,Praise,1,Unresolved
215,274,2023-04-12,Suggested extending coverage to include flood insurance.,5,Suggestion,17,Resolved
216,176,2022-08-21,Satisfied with the support provided by the assigned agent.,4,Praise,12,Resolved
217,312,2023-09-20,Agent Joseph Mcfarland was very helpful in explaining coverage.,9,Suggestion,21,Unresolved
218,440,2023-09-03,Customer found it difficult to submit a claim online.,7,Praise,10,In Progress
219,110,2022-05-12,Policy documents were not received by the customer.,10,Suggestion,10,Resolved
220,424,2022-04-05,Agent provided exceptional service during the policy purchase.,7,Suggestion,20,Resolved
221,421,2023-07-12,Customer recommended adding telematics for vehicle policies.,5,Suggestion,30,In Progress
222,206,2022-05-31,Customer reported confusion about coverage details.,3,Complaint,4,In Progress
223,118,2022-05-01,Policy updates should be communicated more frequently.,10,Praise,13,In Progress
224,180,2023-02-28,Customer expressed concern over rising premium rates.,1,Praise,21,Unresolved
225,436,2022-05-12,Agent David Wright was very helpful in explaining coverage.,4,Complaint,27,Resolved
226,233,2023-11-10,Customer expressed concern over rising premium rates.,6,Suggestion,11,Unresolved
227,300,2023-10-17,Customer appreciated the prompt service during renewal.,6,Praise,16,In Progress
228,245,2022-12-11,Customer requested better discounts for multi-policy holders.,5,Suggestion,10,Resolved
229,483,2023-03-01,Suggested extending coverage to include flood insurance.,4,Complaint,14,Unresolved
230,162,2023-04-18,Policy coverage terms were unclear; required agent assistance.,9,Suggestion,7,In Progress
231,48,2022-10-02,Satisfied with the speed of claim settlement under the policy.,8,Suggestion,7,Unresolved
232,51,2022-10-24,Customer requested more flexible payment options for premiums.,9,Suggestion,24,Unresolved
233,108,2022-10-19,Customer requested better discounts for multi-policy holders.,6,Praise,23,Resolved
234,303,2023-11-29,Satisfied with the speed of claim settlement under the policy.,3,Suggestion,8,Resolved
235,91,2022-02-09,Feedback suggests offering mobile app for easier management.,8,Praise,6,Unresolved
236,340,2022-02-15,Policy coverage terms were unclear; required agent assistance.,4,Complaint,13,Unresolved
237,55,2023-01-25,Agent provided exceptional service during the policy purchase.,6,Suggestion,14,Resolved
238,120,2022-03-28,Customer requested more flexible payment options for premiums.,7,Praise,19,In Progress
239,109,2023-12-13,Satisfied with the support provided by the assigned agent.,1,Suggestion,19,In Progress
240,96,2022-09-10,Customer requested better discounts for multi-policy holders.,4,Praise,16,Unresolved
241,112,2023-12-01,Customer appreciated the prompt service during renewal.,1,Praise,5,In Progress
242,123,2023-09-21,Policy updates should be communicated more frequently.,2,Praise,5,Unresolved
243,30,2022-11-09,Customer expressed concern over rising premium rates.,5,Complaint,6,In Progress
244,155,2023-03-14,Agent provided exceptional service during the policy purchase.,3,Complaint,2,In Progress
245,319,2022-02-12,Customer reported confusion about coverage details.,5,Praise,17,In Progress
246,456,2022-05-12,Policy documents were not received by the customer.,2,Suggestion,12,In Progress
247,20,2022-10-29,Customer found it difficult to submit a claim online.,8,Praise,7,In Progress
248,469,2022-09-01,Policy coverage terms were unclear; required agent assistance.,2,Praise,13,Unresolved
249,292,2023-03-15,Policy cancellation process was lengthy and inconvenient.,9,Complaint,30,Resolved
